model,MSE,R2 Score
DecisionTreeRegressor(),2220156.3902439023,0.9538358066396043
LGBMRegressor(),2798638.430421833,0.9418073041090432
Lasso(),2859092.696597563,0.9405502654402985
LinearRegression(),2869755.571501167,0.9403285499697169
Ridge(),3228738.8979527876,0.932864131801567
ElasticNet(),5079259.8839731505,0.8943858475728019
KNeighborsRegressor(),5562557.076502633,0.8843365442243939
